net|sta|evtnum|mean(azimuth)|std|median|mad|starttime|endtime
CQ|CHK|178|-1.94|6.22|-1.90|4.48|2007-11-10T23:19:00Z|2010-05-09T05:59:00Z
CQ|CHK|191|-5.70|6.59|-5.81|4.45|2010-06-11T16:37:00Z|2013-02-07T18:59:00Z
CQ|CHK|27|-3.19|4.75|-1.96|4.69|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
CQ|CHS|23|0.25|12.79|-1.75|5.40|2007-08-02T02:37:00Z|2007-12-19T09:30:00Z
CQ|CHS|456|-1.24|6.72|-1.33|4.78|2008-02-25T08:36:00Z|2013-09-01T11:52:00Z
CQ|FUL|314|-7.26|5.26|-7.14|4.45|2007-10-21T16:25:00Z|2011-03-09T18:44:00Z
CQ|FUL|180|-6.38|5.03|-6.06|4.33|2011-03-10T08:08:00Z|2013-02-06T00:07:00Z
CQ|FUL|50|-1.48|5.34|-1.48|5.54|2013-02-06T01:12:00Z|2013-09-02T04:30:00Z
CQ|QIJ|479|-2.04|6.32|-1.58|5.19|2007-09-02T01:05:00Z|2013-09-01T11:52:00Z
CQ|ROC|563|-13.05|4.51|-13.07|3.34|2007-08-01T17:08:00Z|2013-02-06T00:07:00Z
CQ|ROC|36|-2.36|4.47|-2.46|3.85|2013-02-06T01:12:00Z|2013-09-01T11:52:00Z
CQ|SHZ|438|173.71|10.06|174.09|4.80|2007-09-20T08:31:00Z|2013-02-28T14:05:00Z
CQ|SHZ|37|-0.56|5.43|-0.91|4.34|2013-03-09T14:56:00Z|2013-09-01T11:52:00Z
CQ|SNB|10|34.48|6.03|35.95|6.15|2007-09-27T19:57:00Z|2008-02-27T06:54:00Z
CQ|WAS|112|-1.43|6.12|-1.35|4.31|2007-08-26T12:37:00Z|2008-07-24T01:43:00Z
CQ|WAS|171|-1.86|5.54|-1.17|4.28|2008-08-04T20:45:00Z|2010-06-02T09:28:00Z
CQ|WAS|350|-1.19|5.13|-0.70|3.40|2010-06-13T03:32:00Z|2013-09-01T11:52:00Z
CQ|WAZ|286|0.72|8.47|1.06|3.73|2009-09-30T10:16:00Z|2013-09-01T11:52:00Z
