gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
201001210202A,5.567397641509438,4.524142138364788,11.507037893081748,3540.8649000000028,2877.354400000005,7318.476099999992,636
201001250715A,3.8477389270976627,2.894073314993122,9.570354745529576,2797.306200000001,2103.9912999999997,6957.647900000002,727
201001271849A,8.056002689486556,7.833116870415654,9.728498777506115,6589.8102000000035,6407.489600000004,7957.912000000001,818
201002050648A,4.056732819074334,2.5945402524544185,6.953460448807854,2892.4505,1849.9072000000003,4957.8173,713
201002060444A,7.909177553593953,5.5813808322824645,17.933332282471586,6271.977800000004,4426.034999999994,14221.132499999967,793
201002070610A,14.94751470588235,11.533439705882348,19.96351134453783,14230.033999999998,10979.834599999995,19005.262800000015,952
201002151015A,1.3994291505791516,0.7382094594594584,3.603301737451732,724.9043000000005,382.3924999999994,1866.5102999999972,518
201002180113A,10.918136697247725,0.006551885830784453,9.990881957186545,10710.692100000018,6.427399999999548,9801.0552,981
201002220521A,5.5915151554404146,3.637217227979271,12.986981735751282,4316.6497,2807.9316999999974,10025.94989999999,772
201002260107A,7.025756983240225,5.142478212290504,16.29997988826817,1257.6105000000002,920.5036000000002,2917.696400000002,179
201002260837A,4.041292823712949,2.574666926677067,8.124342277691108,2590.4687000000004,1650.3615,5207.7034,641
201002261618B,2.203275266903914,1.306514412811386,5.429293238434164,1238.2406999999998,734.2610999999989,3051.2628000000004,562
201002262031A,19.922276166328597,14.512373732251524,21.167498073022287,19643.364299999997,14309.200500000003,20871.153099999974,986
201002280817A,7.1116661434977475,7.6985414798206255,12.061471973094173,6343.606199999991,6867.098999999998,10758.833000000002,892
201002282207A,1.6465275039745622,0.7259952305246425,1.3173744038155808,1035.6657999999995,456.6510000000002,828.6285000000004,629
201003020251A,11.565322300469496,10.559175000000003,18.509458098591534,9853.65460000001,8996.417100000002,15770.058299999986,852
201003040018A,19.724363310961984,14.576515548098426,26.42450089485459,17633.580800000014,13031.404899999992,23623.503800000002,894
201003061331A,5.400155919395471,3.6216392947103326,12.369135642317387,4287.723800000003,2875.581600000004,9821.093700000005,794
201003061723A,2.9701076254826284,1.5596888030888012,6.648648745173745,3077.0315000000032,1615.837599999998,6888.000099999999,1036
201003080947A,4.488564833574527,1.4906529667149062,8.086094356005779,3101.5982999999983,1030.0412000000001,5587.491199999993,691
201003122319A,3.857372864321607,2.052821733668343,7.779517462311557,3070.468799999999,1634.0461000000012,6192.4959,796
201003131246A,4.12820756097561,1.6294800000000011,8.713723658536574,3385.1301999999996,1336.173600000001,7145.2533999999905,820
201003140808A,15.308511635220121,11.354055555555567,18.92756540880504,14604.320099999995,10831.769000000011,18056.89740000001,954
201003150935A,6.920399429657787,6.827543821292768,14.575317300380245,7280.260199999992,7182.576099999992,15333.233800000018,1052
201003160944A,9.991866150670806,10.722308152734776,18.054319195046435,9682.118300000011,10389.916599999999,17494.635299999994,969
201003190930A,4.690380835117777,3.234801070663813,11.937617023554596,4380.815700000004,3021.3042000000014,11149.734299999993,934
201003221958A,10.645091242603554,6.742577396449711,16.243869704142025,8995.102100000004,5697.477900000006,13726.06990000001,845
201003240206A,9.948723793490457,11.339284399551058,16.716718406285068,8864.312899999997,10103.302399999993,14894.596099999997,891
201003240244A,4.814958809801635,6.678683780630108,7.140241423570599,4126.419700000001,5723.632000000002,6119.186900000003,857
201003250529A,9.774810153482887,6.852414285714275,17.719567532467547,8279.264200000005,5803.994899999991,15008.473700000013,847
201003300102A,11.815210839532412,10.213615834218922,19.10741732199786,11118.1134,9611.012500000006,17980.079699999987,941
201003301654A,19.433478369195928,13.59309105322765,21.452505322763294,17159.761400000003,12002.699400000014,18942.56219999999,883
201004132349A,20.929540712742973,16.57274848812094,23.349324622030252,19380.754699999994,15346.36509999999,21621.474600000012,926
201004140125A,8.820567759562849,11.528433879781415,13.693924808743162,8070.819500000007,10548.516999999994,12529.941199999994,915
201004230646A,1.2431735883424406,0.38268615664845207,3.7916834244080153,682.5022999999999,210.0947000000002,2081.6342000000004,549
201004260259A,15.737217937701413,12.135209667024695,20.705803329752936,14651.349900000016,11297.88019999999,19277.102899999983,931
201004272022A,4.815897619047617,4.875352190476191,8.529238761904763,5056.692499999998,5119.1198,8955.700700000001,1050
201005012357A,3.085341666666666,1.3693242248062012,5.826529263565896,1592.0362999999998,706.5712999999998,3006.4891000000025,516
201005031027A,9.507054819976762,5.26058699186992,14.116062369337957,8185.574199999992,4529.3654000000015,12153.92969999998,861
201005260853A,14.282659282051256,10.989300410256398,17.472596820512813,13925.592799999975,10714.567899999987,17035.78189999999,975
201005290230A,12.346367296996661,13.323553615127926,19.311418464961083,11099.384199999999,11977.874700000006,17360.965200000013,899
201005311016A,12.492141327913263,9.622827506775067,17.60716517615177,9219.200299999988,7101.646699999999,12994.087900000008,738
201005311951A,16.6704754098361,8.194778337236535,18.15849777517566,14236.58600000003,6998.340700000001,15507.357100000014,854
201006030535A,6.843364906103286,8.314225704225342,12.934228286385006,5830.546899999999,7083.720299999992,11019.962500000025,852
201006050522A,2.5935994587280105,1.5304897158322057,8.648048037889037,1916.6699999999998,1131.0319,6390.907499999998,739
201006100213A,5.6714137880986915,4.36481654571843,10.117040493468801,3907.6040999999987,3007.358599999998,6970.640900000004,689
201006111637A,13.683522100122106,11.050196214896198,18.259534310134324,11206.804600000005,9050.110699999987,14954.558600000011,819
201006111658A,-0.42548422982885054,0.017966259168704115,-0.672496577017115,-348.04609999999974,14.696399999999967,-550.1022,818
201006130332A,9.684692246294185,7.9968309007981775,16.165384150513106,8493.4751,7013.220700000002,14177.041899999995,877
201006180223A,14.129479124579122,11.445260606060609,19.767218855218847,12589.365899999997,10197.727200000003,17612.591999999993,891
201006182309A,16.571833569739955,15.299376477541374,23.26645047281324,14019.771200000001,12943.272500000003,19683.417100000002,846
201006272103A,2.353424153846154,1.405172,3.3917107692307744,1529.7257,913.3618,2204.6120000000033,650
201006281207A,11.986797365406638,8.901151775486829,17.722086139748,10464.474099999994,7770.705500000002,15471.381200000003,873
201007040521A,1.7673018242122709,1.045453897180763,2.579646932006634,1065.6829999999993,630.4087000000001,1555.5271000000002,603
201007042155A,17.00051157112526,13.36122579617836,20.899171656050974,16014.481899999993,12586.274700000014,19687.01970000002,942
201007090041A,3.794528075253258,2.074092474674385,4.801198408104198,2622.0189000000014,1433.1979,3317.628100000001,691
201007100539A,3.2722105436573314,2.065209225700164,7.684213179571665,1986.2318000000002,1253.5819999999997,4664.317400000001,607
201007121653A,1.8083972929936294,0.7970611464968154,2.350677707006368,1135.6734999999992,500.55440000000004,1476.2255999999988,628
201007232208A,14.945642254901975,8.554316666666676,15.030530784313724,15244.555100000014,8725.40300000001,15331.141399999999,1020
201007232251A,22.024191274509814,14.399728529411753,21.549006960784308,22464.67510000001,14687.723099999988,21979.987099999995,1020
201007232315A,5.707380803134176,0.25046258570029356,3.29770754162585,5827.235799999993,255.7222999999997,3366.959399999993,1021
201007240535A,4.956016206482594,3.840047659063627,5.971501680672268,4128.361500000001,3198.7597000000014,4974.260899999999,833
201007250818A,2.770115291750507,1.3419504024144862,2.4053548289738407,2753.494600000004,1333.8986999999993,2390.922699999998,994
201007251257A,3.086391334661356,3.588746812749002,6.369421314741041,3098.7369000000012,3603.101799999998,6394.899000000006,1004
201007262306A,5.381158249496983,4.1371836016096495,8.33407676056338,5348.871300000002,4112.360499999992,8284.0723,994
201007290731A,11.875963457760319,5.984809626719065,12.98251021611004,12089.730800000005,6092.536200000009,13216.19540000002,1018
201007302043A,3.6188640562248997,1.960002911646587,3.9007736947791147,3604.3886,1952.1629000000005,3885.170599999998,996
201008071604A,3.5400674925668953,1.9715468780971264,4.755386719524278,3571.9280999999974,1989.2908000000004,4798.185199999996,1009
201008130133A,3.582239026812313,2.3858029791459776,4.434140218470707,3607.3146999999994,2402.5035999999996,4465.179200000001,1007
201008140730A,17.89714113636364,10.307150909090915,25.066036363636353,7874.742100000002,4535.146400000002,11029.055999999995,440
