201311271745A 141.52 42.13 98.94 5.07 1.6 1170 986 736529
201212081426A 122.2 25.81 305.69 5.2 2.0 1167 883 678157
200708220726A 140.7738 42.0852 123.3051 5.56 3.0 1141 236 680085
201611240035A 137.99 31.8 350.94 5.29 2.2 1138 992 634506
201601270124A 137.54 8.37 13.65 5.05 1.6 1134 997 679604
200912300748A 125.31 10.71 124.9059 5.23 2.2 1114 566 691219
200903051549A 96.09 15.48 12.0 5.08 1.6 1105 935 636146
201006272103A 141.7335 41.761 70.0365 5.12 2.0 1099 605 667783
201007302043A 139.56 27.71 504.16 5.26 2.0 1092 949 645389
201501210651A 146.86 17.95 78.47 5.11 1.8 1091 998 714250
201008230108A 143.54 12.59 116.4562 5.45 2.8 1081 300 653505
201606280932A 159.63 55.24 13.27 5.12 1.8 1079 1012 616386
200806252337A 142.762 41.8796 52.744 5.38 2.4 1063 238 749276
201704041507A 85.08 47.28 32.64 5.26 2.0 1059 1008 576149
201505250637A 135.18 41.9 393.36 5.29 2.2 1035 1016 629728
200907111519A 122.06 10.0 19.3 5.14 1.8 1033 879 639854
